IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1068330
KATARZYNA,KOBIETA,603599
MARIA,KOBIETA,576071
MAŁGORZATA,KOBIETA,574660
AGNIESZKA,KOBIETA,546248
BARBARA,KOBIETA,473856
EWA,KOBIETA,472970
MAGDALENA,KOBIETA,434398
ELŻBIETA,KOBIETA,410042
JOANNA,KOBIETA,402967
KRYSTYNA,KOBIETA,393595
ALEKSANDRA,KOBIETA,390031
MONIKA,KOBIETA,377369
ZOFIA,KOBIETA,364879
TERESA,KOBIETA,319921
NATALIA,KOBIETA,318894
JULIA,KOBIETA,311201
KAROLINA,KOBIETA,294757
DANUTA,KOBIETA,291388
MARTA,KOBIETA,289473
BEATA,KOBIETA,279226
DOROTA,KOBIETA,267279
ALICJA,KOBIETA,253945
JOLANTA,KOBIETA,235383
HALINA,KOBIETA,232383
IWONA,KOBIETA,231749
ZUZANNA,KOBIETA,227919
HANNA,KOBIETA,227676
GRAŻYNA,KOBIETA,225671
JADWIGA,KOBIETA,225070
PAULINA,KOBIETA,224173
JUSTYNA,KOBIETA,216525
JANINA,KOBIETA,207669
WIKTORIA,KOBIETA,207434
IRENA,KOBIETA,202876
BOŻENA,KOBIETA,196779
RENATA,KOBIETA,186859
MAJA,KOBIETA,184647
AGATA,KOBIETA,184302
URSZULA,KOBIETA,182332
SYLWIA,KOBIETA,182204
PATRYCJA,KOBIETA,169478
OLIWIA,KOBIETA,163329
EMILIA,KOBIETA,163322
HELENA,KOBIETA,159464
IZABELA,KOBIETA,159303
WERONIKA,KOBIETA,151526
ANETA,KOBIETA,151478
EWELINA,KOBIETA,148117
MARTYNA,KOBIETA,142870
KLAUDIA,KOBIETA,138973
GABRIELA,KOBIETA,135952
LENA,KOBIETA,132357
MARZENA,KOBIETA,129102
AMELIA,KOBIETA,127107
DOMINIKA,KOBIETA,123116
KINGA,KOBIETA,121284
EDYTA,KOBIETA,113739
KAMILA,KOBIETA,111481
MARIANNA,KOBIETA,111169
STANISŁAWA,KOBIETA,105070
ALINA,KOBIETA,103899
WIESŁAWA,KOBIETA,102987
TETIANA,KOBIETA,91275
WANDA,KOBIETA,90501
DARIA,KOBIETA,88570
NATALIIA,KOBIETA,86224
OLENA,KOBIETA,82413
LIDIA,KOBIETA,82176
MARIOLA,KOBIETA,81565
IRYNA,KOBIETA,79229
LUCYNA,KOBIETA,78719
NIKOLA,KOBIETA,78429
LAURA,KOBIETA,78218
MILENA,KOBIETA,77625
WIOLETTA,KOBIETA,72371
ANTONINA,KOBIETA,71647
MIROSŁAWA,KOBIETA,68761
OLHA,KOBIETA,64933
ANGELIKA,KOBIETA,64886
OKSANA,KOBIETA,62683
OLGA,KOBIETA,61314
MARIIA,KOBIETA,61236
SVITLANA,KOBIETA,59477
MICHALINA,KOBIETA,58653
ANASTASIIA,KOBIETA,57487
YULIIA,KOBIETA,57062
VIKTORIIA,KOBIETA,56113
ILONA,KOBIETA,55220
SANDRA,KOBIETA,54610
NADIA,KOBIETA,54385
BOGUMIŁA,KOBIETA,53817
KORNELIA,KOBIETA,52635
KAZIMIERA,KOBIETA,51890
POLA,KOBIETA,50529
LILIANA,KOBIETA,49941
ŁUCJA,KOBIETA,49652
IGA,KOBIETA,49634
NINA,KOBIETA,49201
KATERYNA,KOBIETA,48747
MARLENA,KOBIETA,48584
MARCELINA,KOBIETA,47995
BOGUSŁAWA,KOBIETA,46525
GENOWEFA,KOBIETA,46380
SABINA,KOBIETA,46342
